公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
武汉找道科技有限公司,找道科技,15-50人,未融资,东湖新技术开发区,算法工程师-图像处理方向,1-3年,本科,8k-12k,"餐补,五险一金,弹性工作"
北京金山软件有限公司,金山办公软件,2000人以上,上市公司,东湖新技术开发区,运维工程师,3-5年,本科,10k-20k,"六险一金,年终奖金,高额餐补,团队氛围好"
武汉南博网络科技有限公司,南博科技,150-500人,未融资,东湖新技术开发区,前端开发H5,不限,本科,5k-10k,"电子商务,互联网+,高速发展,公司氛围好"
安徽百得思维信息科技有限公司,百得思维,500-2000人,未融资,黄陂区,反欺诈分析师,1-3年,本科,6k-10k,"五险一金,周末节假日,福利好"
威仕德莱森科技（武汉）有限公司,威仕德莱森科技,15-50人,不需要融资,武昌区,技术经理,5-10年,本科,35k-40k,"股票期权,六险一金,年底三薪"
尼尔林技术咨询（深圳）有限公司,尼尔林,150-500人,不需要融资,东湖新技术开发区,Linux应用研发工程师-高级研发经理,5-10年,本科,18k-25k,"五险一金,绩效奖金,年终奖,带薪年假"
湖北华中电力科技开发有限责任公司,华电科技,150-500人,不需要融资,武昌区,高级软件支持工程师,3-5年,本科,6k-10k,"大平台,待遇好,环境优越,培训机会多"
武汉蛋玩科技有限公司,蛋玩科技,15-50人,天使轮,东湖新技术开发区,高级Web开发工程师,3-5年,本科,8k-15k,"智能机器人,双休,节假日福利,环境优美"
北京博睿宏远科技发展有限公司,博睿宏远,150-500人,不需要融资,东湖新技术开发区,安卓开发工程师,应届毕业生,本科,4k-8k,"弹性上班,福利优厚,晋升空间大,年底三薪"
武汉四海华彩互联网科技信息有限公司,四海华彩互联网,150-500人,天使轮,江汉区,高级测试工程师,3-5年,本科,7k-10k,"五险一金,周末双休"
上海得见计算机科技有限公司武汉分公司,得见科技,15-50人,A轮,武昌区,Web前端开发工程师,3-5年,本科,8k-15k,"五险一金,双休法定假,股权期权,美女多"
武汉今天梦想商贸有限公司,Today今天连锁便利,500-2000人,B轮,硚口区,大数据架构师,5-10年,本科,15k-25k,"新零售,平台大,氛围好,发展快"
武汉雷龙网络科技有限公司,雷龙游戏,15-50人,不需要融资,洪山区,C++游戏服务器开发工程师,1-3年,本科,7k-14k,"周末双休,五险一金,每日下午茶,节日福利"
武汉烽火普天信息技术有限公司,烽火普天,50-150人,A轮,东湖新技术开发区,NLP工程师,1-3年,本科,10k-20k,"大牛带你飞,扁平管理,花样福利"
武汉微派网络科技有限公司,微派,50-150人,B轮,东湖新技术开发区,H5前端开发工程师,1-3年,本科,8k-15k,"独挡一面,技术挑战,top薪资"
武汉天远视科技有限责任公司,Farsee2,50-150人,不需要融资,洪山区,C➕➕开发工程师,1-3年,本科,10k-20k,包吃  双休  节日福利  五险一金
云转传媒（武汉）有限公司,云转传媒,15-50人,不需要融资,东湖新技术开发区,高级web前端开发工程师,5-10年,大专,7k-10k,"扁平管理,办公自由"
北京广通信达软件股份有限公司杭州分公司,广通软件,150-500人,上市公司,武昌区,中高级JAVA开发工程师,3-5年,本科,8k-14k,"五险一金,年度体检,领导好"
武汉掌游科技有限公司,掌游科技,150-500人,B轮,,大数据架构师,3-5年,本科,15k-25k,"过亿流水，扁平管理,专业团队,定期培训"
武汉斗鱼网络科技有限公司,斗鱼直播,2000人以上,D轮及以上,洪山区,资深前端工程师,3-5年,本科,15k-30k,"行业发展快,公司发展好,个人空间大,薪资福利好"
深圳市活力天汇科技股份有限公司,航班管家,500-2000人,C轮,武昌区,数据挖掘算法工程师,1-3年,本科,15k-20k,"福利好,逼格高,环境赞,发展快"
武汉芯云道数据科技有限公司,芯云道数据科技,15-50人,未融资,江岸区,C++,1-3年,本科,8k-15k,"C++,Linux,多线程,股权激励"
武汉小码联城科技有限公司,小码联城,150-500人,A轮,江岸区,后端白盒测试工程师,3-5年,本科,7k-14k,"带薪年假,节日福利,年度体检,团建活动"
行吟信息科技（上海）有限公司,小红书,500-2000人,D轮及以上,东湖新技术开发区,WH-Java开发工程师/架构师,1-3年,本科,15K-30K,"六险一金,年终多多,弹性工作制"
诚迈科技（南京）股份有限公司,诚迈科技,2000人以上,上市公司,东湖新技术开发区,BI报表开发,1-3年,本科,10k-20k,"福利多,待遇好,环境好,发展机会多"
武汉市江岸区小院士教育培训中心,小院士教育,50-150人,未融资,江岸区,工程师,3-5年,大专,5k-10k,"20年名校,全新项目"
武汉市追忆那年网络科技有限公司,忆年,50-150人,A轮,洪山区,BI总监,5-10年,本科,20k-40k,"团队管理,数据建模"
河南省现代农业大数据产业技术研究院有限公司,河南省农业大数据研究院,15-50人,B轮,东湖新技术开发区,C++高级工程师,不限,不限,10k-20k,"高薪诚聘,高精尖团队,领导易相处,初创型公司"
